Feature,TrainMean,DayMean,MeanΔ%,KS_D,KS_p
Protocol,0.5480128076332628,8.975806,1537.8825633022411,0.9846890627847662,0.0
Flow Duration,0.9998831281209773,18716938.0,1871912472.0677514,0.9935408714956762,0.0
Tot Fwd Pkts,0.00038535047717287236,6.952821,1804180.2975357387,0.9999998984138851,0.0
Tot Bwd Pkts,0.00026096698309919776,9.919161,3800811.025980183,0.7216005716905459,0.0
TotLen Fwd Pkts,4.984634200150011e-05,406.71207,815915153.0924337,0.6969576535476674,0.0
TotLen Bwd Pkts,0.00013365791319191786,9742.158,7288820353.849907,0.6292034644137954,0.0
Fwd Pkt Len Max,0.0037343655205598846,182.81715,4895433.22966956,0.6969575519615527,0.0
Fwd Pkt Len Min,0.008996383344505915,12.325826,136908.66059319171,0.2824808739331425,0.0
Fwd Pkt Len Mean,0.0036097074997569205,45.478004,1259780.2495999031,0.6968930516114232,0.0
Fwd Pkt Len Std,0.004686275475604079,56.313114,1201560.091128123,0.41708343165586936,0.0
Bwd Pkt Len Max,0.005723274326790623,368.83093,6444303.10064574,0.6292033628276807,0.0
Bwd Pkt Len Min,0.02195232997299371,28.209845,128405.00762282527,0.2703846762263966,0.0
Bwd Pkt Len Mean,0.004130484708043108,120.23563,2910831.9029375585,0.6292033628276807,0.0
Bwd Pkt Len Std,0.006154528126464676,130.65788,2122854.9817157662,0.3610548006844523,0.0
Flow Byts/s,0.0001930254903868355,255528.17,132379846501.83624,0.6951073881580005,0.0
Flow Pkts/s,0.005474861053313831,26502.094,484068603.31937915,0.9731055461373984,0.0
Flow IAT Mean,0.9996548625947121,9213093.0,921627287.1634206,0.9933997025838629,0.0
Flow IAT Std,3.1393931859500416e-06,946370.44,30135412397749.223,0.5092080069420679,0.0
Flow IAT Max,0.13995902093495197,11927536.0,8522162912.501974,0.9945533803019224,0.0
Flow IAT Min,0.9998745102286526,8784476.0,878557749.1450471,0.9335894704398023,0.0
Fwd IAT Tot,0.9998828214694465,18340140.0,1834228830.416536,0.7348044832601446,0.0
Fwd IAT Mean,0.9996560214386566,9497035.0,950030189.1020478,0.734507841922361,0.0
Fwd IAT Std,3.6244786596699336e-06,1027134.7,28331009058811.746,0.44388414044855495,0.0
Fwd IAT Max,0.13995886946978636,11669337.0,8337690080.572813,0.7354391933054367,0.0
Fwd IAT Min,0.9998745923534385,8855651.0,885676069.678379,0.7270681400635124,0.0
Bwd IAT Tot,0.07478509328437677,8299330.5,11097572991.826403,0.4172348649074935,0.0
Bwd IAT Mean,0.008240494898934952,690386.5,8377972639.3497095,0.4172100559602421,0.0
Bwd IAT Std,0.011723856062740366,845648.56,7213057496.783229,0.36367998131393653,0.0
Bwd IAT Max,0.025961963242106964,2486845.0,9578801321.992016,0.4172348649074935,0.0
Bwd IAT Min,0.0030927852853289963,135493.28,4380945388.95052,0.36771906876452143,0.0
Fwd PSH Flags,0.05431037504069794,0.039058823,-28.082206410785375,0.015251550164193994,8.286475039812687e-192
Bwd PSH Flags,0.0,0.0,0.0,0.0,1.0
Fwd URG Flags,0.0,0.0,0.0,0.0,1.0
Bwd URG Flags,0.0,0.0,0.0,0.0,1.0
Fwd Header Len,0.0002884301966453826,141.17506,48945737.24987437,0.9846890627847662,0.0
Bwd Header Len,0.0002726876820553745,203.34088,74568774.5920757,0.7210033501620692,0.0
Fwd Pkts/s,0.004932796338310543,23440.15,475189711.84526265,0.9794621787864841,0.0
Bwd Pkts/s,0.00162619368444566,3061.9375,188288395.17760897,0.7149166273627701,0.0
Pkt Len Min,0.008896369020156534,12.181396,136825.45953126115,0.280357912936708,0.0
Pkt Len Max,0.006606493496035903,377.72357,5717358.358664937,0.6975959052581369,0.0
Pkt Len Mean,0.005250380559282624,79.81409,1520057.8402230965,0.697595803672022,0.0
Pkt Len Std,0.005986393767963834,113.96734,1903672.5205311792,0.6852472209283145,0.0
Pkt Len Var,9.072293752063292e-05,39418.406,43448738267.46366,0.6852472209283145,0.0
FIN Flag Cnt,0.005660784661309354,0.0054684645,-3.3974118844529237,0.0001923201729319146,0.9999999999999928
SYN Flag Cnt,0.05431037504069794,0.039058823,-28.082206410785375,0.015251550164193994,8.286475039812687e-192
RST Flag Cnt,0.18901529023406966,0.116336785,-38.45112451098181,0.07267850304999013,0.0
PSH Flag Cnt,0.38470621041633546,0.37916374,-1.4407015500219256,0.0055424818605692705,1.0631818767089927e-25
ACK Flag Cnt,0.28261561896673715,0.3233646,14.418511855822095,0.04074897045949866,0.0
URG Flag Cnt,0.04114918276510293,0.043626532,6.020409074500359,0.002477350976496595,1.783068840272201e-05
CWE Flag Count,0.0,0.0,0.0,0.0,1.0
ECE Flag Cnt,0.1890164076813325,0.11633488,-38.452497473718424,0.07268152887781065,0.0
Down/Up Ratio,0.0016247529259047126,0.47521347,29148.334870782677,0.4527498270881618,0.0
Pkt Size Avg,0.006040717672626969,91.23861,1510293.2869511908,0.697595803672022,0.0
Fwd Seg Size Avg,0.0036097074997569205,45.478004,1259780.2495999031,0.6968930516114232,0.0
Bwd Seg Size Avg,0.004130484708043108,120.23563,2910831.9029375585,0.6292033628276807,0.0
Fwd Byts/b Avg,0.0,0.0,0.0,0.0,1.0
Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,1.0
Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,1.0
Bwd Byts/b Avg,0.0,0.0,0.0,0.0,1.0
Bwd Pkts/b Avg,0.0,0.0,0.0,0.0,1.0
Bwd Blk Rate Avg,0.0,0.0,0.0,0.0,1.0
Subflow Fwd Pkts,0.00038535047717287236,6.952821,1804180.2975357387,0.9999998984138851,0.0
Subflow Fwd Byts,4.984634200150011e-05,406.71207,815915153.0924337,0.6969576535476674,0.0
Subflow Bwd Pkts,0.00026096698309919776,9.919161,3800811.025980183,0.7216005716905459,0.0
Subflow Bwd Byts,0.00013365791319191786,9742.158,7288820353.849907,0.6292034644137954,0.0
Init Fwd Win Byts,0.1067403660279143,8926.32,8362547.198099503,0.7003489473849938,0.0
Init Bwd Win Byts,0.1558649735920948,10206.371,6548113.362534786,0.5465907258430033,0.0
Fwd Act Data Pkts,0.0013795760859565728,2.2116842,160216.10342789986,0.4668632555033758,0.0
Fwd Seg Size Min,0.2961958727813722,16.405565,5438.7555043896655,0.9846890627847662,0.0
Active Mean,0.0019780234147701303,73726.19,3727263676.396251,0.09734744644368509,0.0
Active Std,0.0015138822201730376,39086.508,2581870634.2587094,0.0767153929710983,0.0
Active Max,0.002985260529835147,134824.9,4516351479.335373,0.09734744644368509,0.0
Active Min,0.0013057589357679089,49828.684,3816067634.1081905,0.09734744644368509,0.0
Idle Mean,1.2773395828510697e-05,9652835.0,75563925915333.11,0.18667206102237677,0.0
Idle Std,1.0006571404083346e-06,134359.78,13413749658313.857,0.08915923490209743,0.0
Idle Max,4.75120450938938e-06,9766564.0,205516491992264.3,0.18667206102237677,0.0
