Feature,TrainMean,DayMean,MeanΔ%,KS_D,KS_p
Protocol,0.5480128076332628,8.821369,1509.7012758046596,0.9827855778715188,0.0
Flow Duration,0.9998831281209773,15808256.0,1581010274.072162,0.9936751060340067,0.0
Tot Fwd Pkts,0.00038535047717287236,7.1342607,1851264.5536770485,0.9999998984138851,0.0
Tot Bwd Pkts,0.00026096698309919776,8.845288,3389315.120057137,0.7713893819287543,0.0
TotLen Fwd Pkts,4.984634200150011e-05,479.48196,961900665.1358794,0.7481281382510276,0.0
TotLen Bwd Pkts,0.00013365791319191786,7224.7837,5405388526.071906,0.6827949203450905,0.0
Fwd Pkt Len Max,0.0037343655205598846,229.73825,6151900.599528131,0.7481280366649128,0.0
Fwd Pkt Len Min,0.008996383344505915,11.34557,126012.54896556785,0.27111927272552283,0.0
Fwd Pkt Len Mean,0.0036097074997569205,55.287975,1531546.5392150758,0.7481081494238004,0.0
Fwd Pkt Len Std,0.004686275475604079,72.856674,1554581.5168634374,0.48122426938434526,0.0
Bwd Pkt Len Max,0.005723274326790623,455.2476,7954219.216154366,0.6827948187589756,0.0
Bwd Pkt Len Min,0.02195232997299371,26.707735,121562.41068204564,0.26227949459784805,0.0
Bwd Pkt Len Mean,0.004130484708043108,134.64487,3259682.903549854,0.6827947171728608,0.0
Bwd Pkt Len Std,0.006154528126464676,161.87431,2630065.6882153233,0.42420980458287993,0.0
Flow Byts/s,0.0001930254903868355,260658.64,135037755651.87999,0.7462591394464624,0.0
Flow Pkts/s,0.005474861053313831,26360.953,481490627.4064596,0.9732312441381283,0.0
Flow IAT Mean,0.9996548625947121,5857681.0,585970239.6966482,0.9935257666426446,0.0
Flow IAT Std,3.1393931859500416e-06,970024.44,30888630182892.395,0.5748713118447998,0.0
Flow IAT Max,0.13995902093495197,8688302.0,6207746910.434253,0.9946876148402529,0.0
Flow IAT Min,0.9998745102286526,5418836.5,541951558.8477987,0.9366201440289569,0.0
Fwd IAT Tot,0.9998828214694465,15436287.0,1543809499.796549,0.750313529362108,0.0
Fwd IAT Mean,0.9996560214386566,6184480.0,618660705.4351524,0.7501011931993404,0.0
Fwd IAT Std,3.6244786596699336e-06,1053277.4,29052091430384.168,0.5107172897247133,0.0
Fwd IAT Max,0.13995886946978636,8448770.0,6036609063.564149,0.7509482394074002,0.0
Fwd IAT Min,0.9998745923534385,5528273.0,552896536.9131305,0.7416184717807761,0.0
Bwd IAT Tot,0.07478509328437677,8638737.0,11551415436.297192,0.4810120917442803,0.0
Bwd IAT Mean,0.008240494898934952,735187.94,8921646685.784105,0.48097667652045606,0.0
Bwd IAT Std,0.011723856062740366,872253.4,7439986333.919539,0.4290069046569708,0.0
Bwd IAT Max,0.025961963242106964,2630093.0,10130562346.94432,0.4810120917442803,0.0
