Feature,TrainMean,DayMean,MeanΔ%,KS_D,KS_p
Protocol,0.5480128076332628,9.310135,1598.8900153473921,0.9822026104435717,0.0
Flow Duration,0.9998831281209773,9773472.0,977461336.7773271,0.9932611296956523,0.0
Tot Fwd Pkts,0.00038535047717287236,6.164411,1599585.335109597,0.9999998984138851,0.0
Tot Bwd Pkts,0.00026096698309919776,7.902448,3028029.3837236003,0.7783368715096004,0.0
TotLen Fwd Pkts,4.984634200150011e-05,431.8219,866288616.8629116,0.7472910464518585,0.0
TotLen Bwd Pkts,0.00013365791319191786,6727.4653,5033308320.196738,0.6718970384294027,0.0
Fwd Pkt Len Max,0.0037343655205598846,184.24986,4933798.73911665,0.7472909448657438,0.0
Fwd Pkt Len Min,0.008996383344505915,13.176624,146365.77774484098,0.3132629461144718,0.0
Fwd Pkt Len Mean,0.0036097074997569205,48.79397,1351642.6186898306,0.7472774383172087,0.0
Fwd Pkt Len Std,0.004686275475604079,59.611374,1271941.336286781,0.4367263213744894,0.0
Bwd Pkt Len Max,0.005723274326790623,385.11108,6728758.249797488,0.6718969368432881,0.0
Bwd Pkt Len Min,0.02195232997299371,31.672556,144178.78280181848,0.3011906796827477,0.0
Bwd Pkt Len Mean,0.004130484708043108,128.07373,3100594.192461623,0.6718969368432881,0.0
Bwd Pkt Len Std,0.006154528126464676,138.10672,2243885.1552223503,0.3728326885642643,0.0
Flow Byts/s,0.0001930254903868355,301498.22,156195254834.06747,0.7444673410971361,0.0
Flow Pkts/s,0.005474861053313831,30798.438,562542612.4937199,0.9733820750967402,0.0
Flow IAT Mean,0.9996548625947121,2486544.0,248740149.31549928,0.9927523103701079,0.0
Flow IAT Std,3.1393931859500416e-06,3297707.5,105009382734322.4,0.5353951594363822,0.0
Flow IAT Max,0.13995902093495197,9889908.0,7066288205.870331,0.9942781320357034,0.0
Flow IAT Min,0.9998745102286526,-2386553.8,-238685427.32846504,0.9283020110434085,0.0
Fwd IAT Tot,0.9998828214694465,9284671.0,928575808.2318583,0.6979569148741516,0.0
Fwd IAT Mean,0.9996560214386566,2786330.2,278728801.4878098,0.6972620208966602,0.0
Fwd IAT Std,3.6244786596699336e-06,3369276.2,92933280437599.3,0.4622703859853782,0.0
Fwd IAT Max,0.13995886946978636,9537553.0,6814539748.7328615,0.6985961184532485,0.0
Fwd IAT Min,0.9998745923534385,-2317166.0,-231745762.4463825,0.6876191502155453,0.0
Bwd IAT Tot,0.07478509328437677,8987058.0,12017178036.89709,0.4333562985540834,0.0
Bwd IAT Mean,0.008240494898934952,751046.3,9114091111.392637,0.4333308351958559,0.0
Bwd IAT Std,0.011723856062740366,944822.0,8058968846.343976,0.375331398118108,0.0
Bwd IAT Max,0.025961963242106964,2760536.5,10633003143.732868,0.4333562985540834,0.0
Bwd IAT Min,0.0030927852853289963,139475.38,4509699637.793692,0.38168665117665956,0.0
Fwd PSH Flags,0.05431037504069794,0.041768894,-23.092238270988364,0.012541480479970835,7.534907264343762e-86
Bwd PSH Flags,0.0,0.0,0.0,0.0,1.0
Fwd URG Flags,0.0,0.0,0.0,0.0,1.0
Bwd URG Flags,0.0,0.0,0.0,0.0,1.0
Fwd Header Len,0.0002884301966453826,126.90562,43998475.132384345,0.9822026104435717,0.0
Bwd Header Len,0.0002726876820553745,164.0518,60160740.6895866,0.7776599473357838,0.0
Fwd Pkts/s,0.004932796338310543,27585.385,559223863.0723171,0.9790122641064177,0.0
Bwd Pkts/s,0.00162619368444566,3213.0637,197581637.9946362,0.7706944342818115,0.0
Pkt Len Min,0.008896369020156534,13.071668,146832.598830614,0.31146497937481576,0.0
Pkt Len Max,0.006606493496035903,392.9917,5948466.209440679,0.747698358597384,0.0
Pkt Len Mean,0.005250380559282624,84.67249,1612592.1829568152,0.7476982570112691,0.0
Pkt Len Std,0.005986393767963834,121.6228,2031553.5652850512,0.7347295121059989,0.0
Pkt Len Var,9.072293752063292e-05,42715.555,47083003410.27687,0.7347295121059989,0.0
FIN Flag Cnt,0.005660784661309354,0.005610926,-0.8807714604052456,4.985878364727192e-05,1.0
SYN Flag Cnt,0.05431037504069794,0.041768894,-23.092238270988364,0.012541480479970835,7.534907264343762e-86
RST Flag Cnt,0.18901529023406966,0.06220249,-67.09129115424057,0.12681279961806602,0.0
PSH Flag Cnt,0.38470621041633546,0.39505053,2.688886984918721,0.010344311882077073,1.5365755885553314e-58
ACK Flag Cnt,0.28261561896673715,0.2733971,-3.261861788453112,0.009218537367158941,1.404141039170924e-46
URG Flag Cnt,0.04114918276510293,0.049870737,21.194962655092127,0.008721553245777391,9.763936848009228e-42
CWE Flag Count,0.0,0.0,0.0,0.0,1.0
ECE Flag Cnt,0.1890164076813325,0.062200993,-67.09227800198528,0.12681541490993054,0.0
Down/Up Ratio,0.0016247529259047126,0.53813064,33020.74729617496,0.517956059498085,0.0
Pkt Size Avg,0.006040717672626969,97.42499,1612704.5862397505,0.7476982570112691,0.0
Fwd Seg Size Avg,0.0036097074997569205,48.79397,1351642.6186898306,0.7472774383172087,0.0
Bwd Seg Size Avg,0.004130484708043108,128.07373,3100594.192461623,0.6718969368432881,0.0
Fwd Byts/b Avg,0.0,0.0,0.0,0.0,1.0
Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,1.0
Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,1.0
Bwd Byts/b Avg,0.0,0.0,0.0,0.0,1.0
Bwd Pkts/b Avg,0.0,0.0,0.0,0.0,1.0
Bwd Blk Rate Avg,0.0,0.0,0.0,0.0,1.0
Subflow Fwd Pkts,0.00038535047717287236,6.164411,1599585.335109597,0.9999998984138851,0.0
Subflow Fwd Byts,4.984634200150011e-05,431.8219,866288616.8629116,0.7472910464518585,0.0
Subflow Bwd Pkts,0.00026096698309919776,7.902448,3028029.3837236003,0.7783368715096004,0.0
Subflow Bwd Byts,0.00013365791319191786,6727.4653,5033308320.196738,0.6718970384294027,0.0
Init Fwd Win Byts,0.1067403660279143,4895.22,4586000.227259451,0.6659791559945238,0.0
Init Bwd Win Byts,0.1558649735920948,9582.486,6147840.77579249,0.5202987900411308,0.0
Fwd Act Data Pkts,0.0013795760859565728,2.1392875,154968.35352284054,0.48524912477714843,0.0
Fwd Seg Size Min,0.2961958727813722,15.986537,5297.2855113016385,0.9822026104435717,0.0
Active Mean,0.0019780234147701303,80924.484,4091177125.6565084,0.11230838822933797,0.0
Active Std,0.0015138822201730376,33550.438,2216183886.514242,0.08354864341916968,0.0
Active Max,0.002985260529835147,138042.67,4624139878.872271,0.11230838822933797,0.0
Active Min,0.0013057589357679089,62753.074,4805866009.059805,0.11230838822933797,0.0
Idle Mean,1.2773395828510697e-05,4870761.5,38129094834499.77,0.12709660798111522,0.0
Idle Std,1.0006571404083346e-06,1146102.5,114420638935572.31,0.09731915254259949,0.0
Idle Max,4.75120450938938e-06,7558354.0,159049426115006.1,0.12709660798111522,0.0
Idle Min,0.00032355773801487223,3340544.5,1032438351123.4042,0.12709660798111522,0.0
