Feature,TrainMean,DayMean,MeanΔ%,KS_D,KS_p
Protocol,0.5480128076332628,6.0575476,1005.3660562026557,0.9998309467260478,0.0
Flow Duration,0.9998831281209773,584879.44,58494680.08636703,1.0,0.0
Tot Fwd Pkts,0.00038535047717287236,5.0333896,1306081.4648425055,0.9999998984138851,0.0
Tot Bwd Pkts,0.00026096698309919776,1.9906162,762681.7710488142,0.994490424502131,0.0
TotLen Fwd Pkts,4.984634200150011e-05,933.53644,1872790705.8993142,0.9992378745846416,0.0
TotLen Bwd Pkts,0.00013365791319191786,298.2676,223155693.74441144,0.9939140821377203,0.0
Fwd Pkt Len Max,0.0037343655205598846,929.70886,24895926.064584,0.9992378745846416,0.0
Fwd Pkt Len Min,0.008996383344505915,0.5874518,6429.865711705836,0.3082398080743207,0.0
Fwd Pkt Len Mean,0.0036097074997569205,186.41309,5164114.394349382,0.9992378745846416,0.0
Fwd Pkt Len Std,0.004686275475604079,415.5055,8866331.490504457,0.9939057680422799,0.0
Bwd Pkt Len Max,0.005723274326790623,298.07907,5208090.311072669,0.9939140821377203,0.0
Bwd Pkt Len Min,0.02195232997299371,0.009630494,-56.12996710207558,0.3150160821826026,0.0
Bwd Pkt Len Mean,0.004130484708043108,148.9841,3606839.0108937277,0.9939140821377203,0.0
Bwd Pkt Len Std,0.006154528126464676,210.70514,3423478.5521774082,0.9938725116605188,0.0
Flow Byts/s,0.0001930254903868355,638182.6,330619193007.1474,0.9992515282381459,0.0
Flow Pkts/s,0.005474861053313831,3649.1807,66653281.0081063,0.994490075237766,0.0
Flow IAT Mean,0.9996548625947121,72471.2,7249522.421122221,1.0,0.0
Flow IAT Std,3.1393931859500416e-06,50993.023,1623778311024.8992,0.9995953806885733,0.0
Flow IAT Max,0.13995902093495197,172921.06,123551108.13888554,1.0,0.0
Flow IAT Min,0.9998745102286526,25457.053,2545924.7709579277,0.999996342899867,0.0
Fwd IAT Tot,0.9998828214694465,583981.0,58404843.747080505,0.9996729789126826,0.0
Fwd IAT Mean,0.9996560214386566,73130.23,7315439.037528141,0.9996729789126826,0.0
Fwd IAT Std,3.6244786596699336e-06,51683.484,1425563055888.483,0.999301615983017,0.0
Fwd IAT Max,0.13995886946978636,172749.48,123428650.02859737,0.9996729789126826,0.0
Fwd IAT Min,0.9998745923534385,25529.404,2553160.625540447,0.99966911864032,0.0
Bwd IAT Tot,0.07478509328437677,9315.531,12456301.023682458,0.9940054356014484,0.0
Bwd IAT Mean,0.008240494898934952,6432.4653,78059101.90875427,0.9940054356014484,0.0
Bwd IAT Std,0.011723856062740366,659.6178,5626186.590860071,0.37031490567499337,0.0
Bwd IAT Max,0.025961963242106964,8253.856,31792010.829298533,0.9940054356014484,0.0
Bwd IAT Min,0.0030927852853289963,6104.659,197383702.71041313,0.9940054356014484,0.0
Fwd PSH Flags,0.05431037504069794,6.37414e-05,-99.88263311286019,0.05424663364232252,0.0
Bwd PSH Flags,0.0,0.0,0.0,0.0,1.0
Fwd URG Flags,0.0,0.0,0.0,0.0,1.0
Bwd URG Flags,0.0,0.0,0.0,0.0,1.0
Fwd Header Len,0.0002884301966453826,123.79946,42921561.320135824,0.9998309467260478,0.0
Bwd Header Len,0.0002726876820553745,39.831856,14606980.67335086,0.9944849833579523,0.0
Fwd Pkts/s,0.004932796338310543,2600.1077,52710512.00554304,0.9944734470468855,0.0
Bwd Pkts/s,0.00162619368444566,1049.0732,64510825.55047368,0.9944323274201639,0.0
Pkt Len Min,0.008896369020156534,0.5838601,6462.9026107591035,0.30673173026811573,0.0
Pkt Len Max,0.006606493496035903,929.8605,14074845.10427212,0.9992517314103755,0.0
Pkt Len Mean,0.005250380559282624,153.98106,2932659.4976699622,0.9992517314103755,0.0
Pkt Len Std,0.005986393767963834,330.52368,5521147.669973605,0.993939024424041,0.0
Pkt Len Var,9.072293752063292e-05,109924.164,121163352226.39285,0.993939024424041,0.0
FIN Flag Cnt,0.005660784661309354,2.7713652e-06,-99.95102508106179,0.005658013296162667,4.175424970146252e-10
SYN Flag Cnt,0.05431037504069794,6.37414e-05,-99.88263311286019,0.05424663364232252,0.0
RST Flag Cnt,0.18901529023406966,0.9936259,425.6854478811715,0.8046105699283879,0.0
PSH Flag Cnt,0.38470621041633546,0.994327,158.46398633999058,0.6096208051282517,0.0
ACK Flag Cnt,0.28261561896673715,0.0001829101,-99.93527919838341,0.2824327088670512,0.0
URG Flag Cnt,0.04114918276510293,8.8683686e-05,-99.78448008458496,0.041060499080406654,0.0
CWE Flag Count,0.0,0.0,0.0,0.0,1.0
ECE Flag Cnt,0.1890164076813325,0.9936259,425.6823400781562,0.804609452481125,0.0
Down/Up Ratio,0.0016247529259047126,0.0006263285,-61.45080755326743,0.4840712238268724,0.0
Pkt Size Avg,0.006040717672626969,175.9937,2913356.289871907,0.9992517314103755,0.0
Fwd Seg Size Avg,0.0036097074997569205,186.41309,5164114.394349382,0.9992378745846416,0.0
Bwd Seg Size Avg,0.004130484708043108,148.9841,3606839.0108937277,0.9939140821377203,0.0
Fwd Byts/b Avg,0.0,0.0,0.0,0.0,1.0
Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,1.0
Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,1.0
Bwd Byts/b Avg,0.0,0.0,0.0,0.0,1.0
Bwd Pkts/b Avg,0.0,0.0,0.0,0.0,1.0
Bwd Blk Rate Avg,0.0,0.0,0.0,0.0,1.0
Subflow Fwd Pkts,0.00038535047717287236,5.0333896,1306081.4648425055,0.9999998984138851,0.0
Subflow Fwd Byts,4.984634200150011e-05,933.53644,1872790705.8993142,0.9992378745846416,0.0
Subflow Bwd Pkts,0.00026096698309919776,1.9906162,762681.7710488142,0.994490424502131,0.0
Subflow Bwd Byts,0.00013365791319191786,298.2676,223155693.74441144,0.9939140821377203,0.0
Init Fwd Win Byts,0.1067403660279143,65128.066,61015304.218367524,0.9945043829139796,0.0
Init Bwd Win Byts,0.1558649735920948,32559.592,20889514.15615395,0.9939584239800684,0.0
Fwd Act Data Pkts,0.0013795760859565728,1.051043,76085.88662416644,0.9991878884258851,0.0
Fwd Seg Size Min,0.2961958727813722,19.938166,6631.412362749384,0.9998309467260478,0.0
Active Mean,0.0019780234147701303,21857.857,1105034663.911958,0.11517381783464709,0.0
Active Std,0.0015138822201730376,7524.834,497055015.2232144,0.07950292025970251,0.0
Active Max,0.002985260529835147,29164.729,976957135.5436659,0.11517381783464709,0.0
Active Min,0.0013057589357679089,15826.723,1212069762.3628247,0.11517381783464709,0.0
Idle Mean,1.2773395828510697e-05,91262.805,714419733816.6128,0.1371943159952702,0.0
