Feature,TrainMean,DayMean,MeanΔ%,KS_D,KS_p
Protocol,0.5480128076332628,9.75987,1680.9564708608698,0.9750500972537883,0.0
Flow Duration,0.9998831281209773,15455335.0,1545714048.9713082,0.9894972683239729,0.0
Tot Fwd Pkts,0.00038535047717287236,5.783647,1500775.7988488744,0.9999998984138851,0.0
Tot Bwd Pkts,0.00026096698309919776,6.0971446,2336257.3310108446,0.8426462097016261,0.0
TotLen Fwd Pkts,4.984634200150011e-05,390.2608,782911861.9094468,0.7390278646544276,0.0
TotLen Bwd Pkts,0.00013365791319191786,3845.6228,2877191335.197091,0.6566751211733721,0.0
Fwd Pkt Len Max,0.0037343655205598846,178.34741,4775741.126693579,0.7390277630683129,0.0
Fwd Pkt Len Min,0.008996383344505915,17.786638,197608.74142065732,0.35864278202812394,0.0
Fwd Pkt Len Mean,0.0036097074997569205,50.111332,1388137.6359218976,0.7389590228354492,0.0
Fwd Pkt Len Std,0.004686275475604079,53.83845,1148753.5016397652,0.38199350907078244,0.0
Bwd Pkt Len Max,0.005723274326790623,342.61417,5986230.321328251,0.6566750195872574,0.0
Bwd Pkt Len Min,0.02195232997299371,35.56807,161924.11262277575,0.3571793598263462,0.0
Bwd Pkt Len Mean,0.004130484708043108,114.05477,2761192.0001695235,0.656675222759487,0.0
Bwd Pkt Len Std,0.006154528126464676,116.08369,1886050.5802361004,0.30245277682667815,0.0
Flow Byts/s,0.0001930254903868355,304458.3,157728771681.45346,0.7360276390791196,0.0
Flow Pkts/s,0.005474861053313831,80065.195,1462414743.2021046,0.9691813635527624,0.0
Flow IAT Mean,0.9996548625947121,3054311.8,305536526.8130622,0.9891266231980991,0.0
Flow IAT Std,3.1393931859500416e-06,1256426.5,40008572990734.04,0.5137474563827639,0.0
Flow IAT Max,0.13995902093495197,6537396.0,4670935656.49475,0.9905097771302191,0.0
Flow IAT Min,0.9998745102286526,2456051.0,245635824.5503707,0.9430136049221577,0.0
Fwd IAT Tot,0.9998828214694465,15272877.0,1527466584.7741246,0.5892146655507118,0.0
Fwd IAT Mean,0.9996560214386566,3507973.8,350917982.94640326,0.5885208350223112,0.0
Fwd IAT Std,3.6244786596699336e-06,1462963.9,40352295857385.21,0.4219339988110419,0.0
Fwd IAT Max,0.13995886946978636,6457748.0,4614032564.256224,0.5898493755960039,0.0
Fwd IAT Min,0.9998745923534385,2578692.0,257901442.56759655,0.5793178418159682,0.0
Bwd IAT Tot,0.07478509328437677,10445385.0,13967201653.1736,0.37874774013597035,0.0
Bwd IAT Mean,0.008240494898934952,1013045.25,12293498524.65113,0.378743539108399,0.0
Bwd IAT Std,0.011723856062740366,1107735.4,9448557393.254494,0.3127285918523002,0.0
Bwd IAT Max,0.025961963242106964,3425607.8,13194717056.431892,0.37874774013597035,0.0
Bwd IAT Min,0.0030927852853289963,315900.34,10214101832.891783,0.34577387472849175,0.0
Fwd PSH Flags,0.05431037504069794,0.06558644,20.76226689358757,0.011276067403123813,4.253433290315755e-26
Bwd PSH Flags,0.0,0.0,0.0,0.0,1.0
Fwd URG Flags,0.0,0.00040749967,40749966.86540544,0.00040749967442033075,0.9999999999998134
Bwd URG Flags,0.0,0.0,0.0,0.0,1.0
